[backend] INFO:     Started server process [2532]
[backend] [Config] LLM provider: deepseek
[backend] INFO:     Waiting for application startup.
[backend] 2026-07-09 16:41:00 | performance              | INFO     | [performance] dm.create tick=1 1013.4ms
[backend] 2026-07-09 16:41:00 | uvicorn.access           | INFO     | 127.0.0.1:58125 - "GET /api/world/mock_world/events?since_tick=0 HTTP/1.1" 200
[backend] 2026-07-09 16:41:00 | performance              | INFO     | [performance] data.load_world tick=1 0.8ms
[backend] 2026-07-09 16:41:00 | performance              | INFO     | [performance] data.load_scene tick=1 0.3ms
[backend] [Config] LLM provider: deepseek
2026-07-09 16:41:00 | uvicorn.access           | INFO     | 127.0.0.1:58128 - "GET /api/world/mock_world/state HTTP/1.1" 200
[backend] 2026-07-09 16:41:00 | performance              | INFO     | [performance] data.load_actors tick=1 9.5ms
[backend] 2026-07-09 16:41:00 | performance              | INFO     | [performance] data.load_pcs tick=1 0.4ms
[backend] 2026-07-09 16:41:00 | performance              | INFO     | [performance] data.load_scene_objects tick=1 0.5ms
[backend] 2026-07-09 16:41:00 | performance              | INFO     | [performance] tick_init.assign_positions tick=1 0.0ms
[backend] 2026-07-09 16:41:00 | performance              | INFO     | [performance] tick_init.dm_create_event tick=1 0.0ms
[backend] 2026-07-09 16:41:00 | performance              | INFO     | [performance] tick_init.scene_setup_snapshot tick=1 0.1ms
[backend] 2026-07-09 16:41:00 | engine.decision.decision_engine | INFO     | [engine] decide tick=1 pc=cleric
[backend] 2026-07-09 16:41:00 | engine.decision.decision_engine | INFO     | [engine] decide tick=1 pc=fighter
[backend] 2026-07-09 16:41:00 | engine.decision.decision_engine | INFO     | [engine] decide tick=1 pc=rogue
[backend] 2026-07-09 16:41:00 | engine.decision.decision_engine | INFO     | [engine] decide tick=1 pc=wizard
[backend] 2026-07-09 16:41:00 | performance              | INFO     | [performance] pc.decide tick=1 1.5ms
[backend] 2026-07-09 16:41:00 | engine.combat.combat_engine | INFO     | [combat] cleric → goblin : 长矛擦过他的护甲，火星四溅；他趁机反手一击，重创了面前的敌人 (defeated=False)
[backend] 2026-07-09 16:41:00 | engine.explore.explore_engine | INFO     | [engine] fighter explore start pos=(19,19) scene=village_elderwood
[backend] 2026-07-09 16:41:00 | engine.explore.explore_engine | INFO     | [engine] fighter explore: (19,19) → (12,8) | 窗台上摆着一个积满灰尘的陶罐，罐底隐约可见缕刻的纹路——像是
[backend] 2026-07-09 16:41:00 | engine.combat.combat_engine | INFO     | [combat] rogue → skeleton : 长矛擦过他的护甲，火星四溅；他趁机反手一击，重创了面前的敌人 (defeated=False)
[backend] 2026-07-09 16:41:00 | engine.combat.combat_engine | INFO     | [combat] wizard → skeleton : 他挥剑劈向地精，剑锋在烛光下划出一道弧光，将敌人逼得连退两步 (defeated=False)
[backend] 2026-07-09 16:41:00 | performance              | INFO     | [performance] pc.act tick=1 1.2ms
[backend] 2026-07-09 16:41:00 | service.event_service    | INFO     | [service] flushed events tick=1 count=10
