[backend] INFO:     Started server process [8140]
INFO:     Waiting for application startup.
[backend] [Config] LLM provider: deepseek
[backend] 2026-07-09 16:43:12 | service.data_service     | INFO     | [data] persisted pcs count=4 tick=1
[backend] 2026-07-09 16:43:12 | service.data_service     | INFO     | [data] persisted actors count=6 tick=1
[backend] 2026-07-09 16:43:12 | performance              | INFO     | [performance] data.persist tick=1 47.5ms
[backend] 2026-07-09 16:43:12 | performance              | INFO     | [performance] tick tick=1
[backend] 2026-07-09 16:43:12 | utils.metrics            | INFO     | [metrics] tick=1 latency=1724ms llm=0 tokens=0/0 cost=$0.000000
[backend] 2026-07-09 16:43:12 | tick_runner              | INFO     | [batch] Finished world mock_world: 1/1 ticks
  x  1 [chromium] › tests\e2e\error-recovery.spec.ts:102:3 › error race & state recovery › UC-28 reset then re-run tick (7.6s)
[backend] [Config] LLM provider: deepseek
2026-07-09 16:43:15 | uvicorn.access           | INFO     | 127.0.0.1:62575 - "GET /api/world/mock_world/state HTTP/1.1" 200
[backend] 2026-07-09 16:43:16 | repo.event_repo          | INFO     | [repo] deleted events for world=mock_world
[backend] 2026-07-09 16:43:16 | graph.checkpoints        | INFO     | [graph] checkpointer type=memory
[backend] 2026-07-09 16:43:16 | orchestrator             | INFO     | [orchestrator] reset complete for mock_world
[backend] 2026-07-09 16:43:16 | api                      | INFO     | [api] world.reset world=mock_world
[backend] 2026-07-09 16:43:16 | uvicorn.access           | INFO     | 127.0.0.1:62577 - "POST /api/world/mock_world/reset HTTP/1.1" 200
[backend] [Config] LLM provider: deepseek
2026-07-09 16:43:16 | uvicorn.access           | INFO     | 127.0.0.1:62580 - "GET /api/world/mock_world/state HTTP/1.1" 200
[backend] 2026-07-09 16:43:16 | uvicorn.access           | INFO     | 127.0.0.1:62583 - "GET /api/world/mock_world/loop/status HTTP/1.1" 200
[backend] 2026-07-09 16:43:16 | api                      | INFO     | [api] tick.batch world=mock_world:1
[backend] 2026-07-09 16:43:16 | tick_runner              | INFO     | [batch] Started 1 ticks for world mock_world
[backend] 2026-07-09 16:43:16 | uvicorn.access           | INFO     | 127.0.0.1:62585 - "POST /api/world/mock_world/tick/batch/1 HTTP/1.1" 200
[backend] 2026-07-09 16:43:17 | engine.dm.dm_engine      | INFO     | [engine] dm_create tick=1 world=mock_world
[backend] 2026-07-09 16:43:17 | performance              | INFO     | [performance] dm.create tick=1 899.0ms
[backend] 2026-07-09 16:43:17 | performance              | INFO     | [performance] data.load_world tick=1 0.4ms
[backend] 2026-07-09 16:43:17 | uvicorn.access           | INFO     | 127.0.0.1:62587 - "GET /api/world/mock_world/events?since_tick=0 HTTP/1.1" 200
[backend] 2026-07-09 16:43:17 | performance              | INFO     | [performance] data.load_scene tick=1 0.3ms
[backend] [Config] LLM provider: deepseek
2026-07-09 16:43:17 | uvicorn.access           | INFO     | 127.0.0.1:62590 - "GET /api/world/mock_world/state HTTP/1.1" 200
[backend] 2026-07-09 16:43:17 | performance              | INFO     | [performance] data.load_actors tick=1 0.5ms
[backend] 2026-07-09 16:43:17 | performance              | INFO     | [performance] data.load_pcs tick=1 0.6ms
[backend] 2026-07-09 16:43:17 | performance              | INFO     | [performance] data.load_scene_objects tick=1 0.6ms
[backend] 2026-07-09 16:43:17 | performance              | INFO     | [performance] tick_init.assign_positions tick=1 0.0ms
[backend] 2026-07-09 16:43:17 | performance              | INFO     | [performance] tick_init.dm_create_event tick=1 0.0ms
2026-07-09 16:43:17 | performance              | INFO     | [performance] tick_init.scene_setup_snapshot tick=1 0.1ms
[backend] 2026-07-09 16:43:17 | engine.decision.decision_engine | INFO     | [engine] decide tick=1 pc=cleric
[backend] 2026-07-09 16:43:17 | engine.decision.decision_engine | INFO     | [engine] decide tick=1 pc=fighter
[backend] 2026-07-09 16:43:17 | engine.decision.decision_engine | INFO     | [engine] decide tick=1 pc=rogue
[backend] 2026-07-09 16:43:17 | engine.decision.decision_engine | INFO     | [engine] decide tick=1 pc=wizard
[backend] 2026-07-09 16:43:17 | performance              | INFO     | [performance] pc.decide tick=1 1.5ms
[backend] 2026-07-09 16:43:17 | engine.combat.combat_engine | INFO     | [combat] cleric → skeleton : 他一个侧身躲过挥来的木棒，匕首顺势刺入敌人的软肋，地精发出一 (defeated=True)
[backend] 2026-07-09 16:43:17 | engine.explore.explore_engine | INFO     | [engine] fighter explore start pos=(19,19) scene=village_elderwood
[backend] 2026-07-09 16:43:17 | engine.explore.explore_engine | INFO     | [engine] fighter explore: (19,19) → (8,15) | 酒馆后门的台阶上有一串湿脚印，通向小巷深处，泥里还嵌着一枚银
[backend] 2026-07-09 16:43:17 | engine.talk.talk_engine  | INFO     | [engine] rogue ↔ guard : 4 turns
[backend] 2026-07-09 16:43:17 | engine.explore.explore_engine | INFO     | [engine] wizard explore start pos=(21,19) scene=village_elderwood
[backend] 2026-07-09 16:43:17 | engine.explore.explore_engine | INFO     | [engine] wizard explore: dest (8,15) blocked, adjusted to (9,15)
[backend] 2026-07-09 16:43:17 | engine.explore.explore_engine | INFO     | [engine] wizard explore: (21,19) → (9,15) | 酒馆后门的台阶上有一串湿脚印，通向小巷深处，泥里还嵌着一枚银
[backend] 2026-07-09 16:43:17 | performance              | INFO     | [performance] pc.act tick=1 1.9ms
[backend] 2026-07-09 16:43:17 | service.event_service    | INFO     | [service] flushed events tick=1 count=10
  x  2 [chromium] › tests\e2e\error-recovery.spec.ts:242:3 › mock speed & event integrity › UC-34 PC position persists across ticks (1.8s)
[backend] 2026-07-09 16:43:17 | engine.dm.dm_engine      | INFO     | [engine] dm_narrate tick=1 narrative_len=94
[backend] 2026-07-09 16:43:17 | performance              | INFO     | [performance] dm.narrate tick=1 521.2ms
[backend] 2026-07-09 16:43:17 | repo.dm_record_repo      | INFO     | [repo] save_plot_brief tick=1
[backend] 2026-07-09 16:43:17 | service.data_service     | INFO     | [data] wrote dm_record tick=1
[backend] 2026-07-09 16:43:17 | repo.event_repo          | INFO     | [repo] insert tick=1 count=11
[backend] 2026-07-09 16:43:17 | service.data_service     | INFO     | [data] wrote events tick=1 count=11
[backend] 2026-07-09 16:43:17 | service.data_service     | INFO     | [data] persisted pcs count=4 tick=1
